family,baseline_role,baseline,error_type,group_value,count
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,currency_amount,6
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,product_stock_code,1
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_negative,ranking,3
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,comparison_direction,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,country,1
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,currency_amount,8
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,month,4
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,percentage,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,product_name,2
energy,energy_best_test_f1,mean_spilled_probability_mass_after_top2,false_positive,ranking,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,comparison_direction,3
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,country,3
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,currency_amount,9
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,percentage,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,product_stock_code,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_negative,ranking,3
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,currency_amount,5
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,percentage,1
simple,simple_best_test_auprc,one_minus_min_top2_margin,false_positive,product_name,1
