baseline,score_field,evaluated_split,threshold_source_split,threshold,threshold_rule,precision,recall,specificity,f1,accuracy,auroc,auprc,tp,fp,tn,fn,positive_count,negative_count,selection_policy,description
mean_token_nll,mean_token_nll,dev,dev,0.037151,predict_positive_if_score_gte_threshold,0.846154,0.721311,0.804878,0.778761,0.754902,0.764294,0.8582,44,8,33,17,61,41,threshold_selected_on_dev_split_max_f1,Higher mean token negative log probability indicates more uncertainty.
mean_token_nll,mean_token_nll,test,dev,0.037151,predict_positive_if_score_gte_threshold,0.781818,0.704918,0.714286,0.741379,0.708738,0.755464,0.831905,43,12,30,18,61,42,threshold_selected_on_dev_split_max_f1,Higher mean token negative log probability indicates more uncertainty.
mean_token_entropy,mean_token_entropy,dev,dev,0.004817,predict_positive_if_score_gte_threshold,0.714286,0.819672,0.512195,0.763359,0.696078,0.756497,0.855133,50,20,21,11,61,41,threshold_selected_on_dev_split_max_f1,Higher mean token entropy indicates more uncertainty.
mean_token_entropy,mean_token_entropy,test,dev,0.004817,predict_positive_if_score_gte_threshold,0.706667,0.868852,0.47619,0.779412,0.708738,0.736144,0.809474,53,22,20,8,61,42,threshold_selected_on_dev_split_max_f1,Higher mean token entropy indicates more uncertainty.
max_token_entropy,max_token_entropy,dev,dev,0.466101,predict_positive_if_score_gte_threshold,0.8,0.721311,0.731707,0.758621,0.72549,0.747301,0.821436,44,11,30,17,61,41,threshold_selected_on_dev_split_max_f1,Higher maximum token entropy catches one uncertain token inside a span.
max_token_entropy,max_token_entropy,test,dev,0.466101,predict_positive_if_score_gte_threshold,0.77193,0.721311,0.690476,0.745763,0.708738,0.745121,0.805341,44,13,29,17,61,42,threshold_selected_on_dev_split_max_f1,Higher maximum token entropy catches one uncertain token inside a span.
one_minus_mean_top2_margin,one_minus_mean_top2_margin,dev,dev,0.061265,predict_positive_if_score_gte_threshold,0.862745,0.721311,0.829268,0.785714,0.764706,0.766493,0.862225,44,7,34,17,61,41,threshold_selected_on_dev_split_max_f1,Higher value means lower average top-2 margin across the span.
one_minus_mean_top2_margin,one_minus_mean_top2_margin,test,dev,0.061265,predict_positive_if_score_gte_threshold,0.773585,0.672131,0.714286,0.719298,0.68932,0.746292,0.823891,41,12,30,20,61,42,threshold_selected_on_dev_split_max_f1,Higher value means lower average top-2 margin across the span.
one_minus_min_top2_margin,one_minus_min_top2_margin,dev,dev,0.334333,predict_positive_if_score_gte_threshold,0.843137,0.704918,0.804878,0.767857,0.745098,0.758497,0.860629,43,8,33,18,61,41,threshold_selected_on_dev_split_max_f1,Higher value means at least one token has a low top-2 margin.
one_minus_min_top2_margin,one_minus_min_top2_margin,test,dev,0.334333,predict_positive_if_score_gte_threshold,0.854167,0.672131,0.833333,0.752294,0.737864,0.756831,0.835073,41,7,35,20,61,42,threshold_selected_on_dev_split_max_f1,Higher value means at least one token has a low top-2 margin.
